Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-05-15 00:00:00-04:00,165.63946564247587,166.00902860866202,162.1736602838883,163.76174926757812,33146700,0.0,0.0
2025-05-16 00:00:00-04:00,167.52719070383273,169.14524229932235,165.4197413290067,165.9890594482422,42846900,0.0,0.0
2025-05-19 00:00:00-04:00,164.311078821177,166.43850822896752,164.02143617765117,166.338623046875,30426100,0.0,0.0
2025-05-20 00:00:00-04:00,166.22875761227516,168.2962620339302,162.7030270512069,163.78172302246094,46607700,0.0,0.0
2025-05-21 00:00:00-04:00,163.49207927319333,172.93064990762463,163.36223158372133,168.35618591308594,73416000,0.0,0.0
2025-05-22 00:00:00-04:00,171.6422171391164,176.55626639163424,170.50359615670786,170.66339111328125,74864400,0.0,0.0
2025-05-23 00:00:00-04:00,168.85557933287677,169.7545002456487,167.68699586257836,168.26629638671875,35211400,0.0,0.0
2025-05-27 00:00:00-04:00,169.9542560308247,172.9606110264557,169.79444583588602,172.69093322753906,37995700,0.0,0.0
2025-05-28 00:00:00-04:00,172.95063181853965,175.0580811773991,171.70214322301487,172.15159606933594,34784000,0.0,0.0
2025-05-29 00:00:00-04:00,173.78960291012612,174.20909322624098,170.42368271917738,171.65219116210938,29317300,0.0,0.0
2025-05-30 00:00:00-04:00,171.14282080509608,172.0017815585655,167.23754486546525,171.5323486328125,52639900,0.0,0.0
2025-06-02 00:00:00-04:00,167.637058963566,169.66460324672883,167.18760611208933,168.82562255859375,38612300,0.0,0.0
2025-06-03 00:00:00-04:00,167.28749382619188,168.276287066322,165.08015922486254,165.97906494140625,45084900,0.0,0.0
2025-06-04 00:00:00-04:00,166.53838821108508,168.01659436979696,166.15884281939123,167.8468017578125,26900800,0.0,0.0
2025-06-05 00:00:00-04:00,170.1340365467451,170.72331951416996,167.3873615992156,168.00662231445312,36379100,0.0,0.0
2025-06-06 00:00:00-04:00,170.6234412090639,174.2890017669552,170.6234412090639,173.46998596191406,35731800,0.0,0.0
2025-06-09 00:00:00-04:00,174.5399932861328,176.47000122070312,174.3699951171875,176.08999633789062,28935900,0.21,0.0
2025-06-10 00:00:00-04:00,176.1999969482422,181.11000061035156,174.91000366210938,178.60000610351562,61766100,0.0,0.0
2025-06-11 00:00:00-04:00,179.77000427246094,180.3699951171875,176.75,177.35000610351562,31646800,0.0,0.0
2025-06-12 00:00:00-04:00,176.17999267578125,176.72000122070312,174.75,175.6999969482422,20941900,0.0,0.0
2025-06-13 00:00:00-04:00,172.44000244140625,177.1300048828125,172.38999938964844,174.6699981689453,27663100,0.0,0.0
2025-06-16 00:00:00-04:00,174.72999572753906,176.94000244140625,174.64999389648438,176.77000427246094,27389200,0.0,0.0
2025-06-17 00:00:00-04:00,175.6999969482422,177.36000061035156,174.5800018310547,175.9499969482422,24973000,0.0,0.0
2025-06-18 00:00:00-04:00,176.00999450683594,176.55999755859375,173.1999969482422,173.32000732421875,28707500,0.0,0.0
2025-06-20 00:00:00-04:00,173.9499969482422,174.33999633789062,165.4600067138672,166.63999938964844,75659900,0.0,0.0
2025-06-23 00:00:00-04:00,166.27000427246094,167.33999633789062,162.0,165.19000244140625,57671000,0.0,0.0
2025-06-24 00:00:00-04:00,166.9199981689453,168.22000122070312,166.1300048828125,166.77000427246094,40524300,0.0,0.0
2025-06-25 00:00:00-04:00,167.6300048828125,172.36000061035156,167.5500030517578,170.67999267578125,35479000,0.0,0.0
2025-06-26 00:00:00-04:00,172.42999267578125,173.69000244140625,169.94000244140625,173.5399932861328,31796700,0.0,0.0
2025-06-27 00:00:00-04:00,173.5399932861328,178.67999267578125,171.72999572753906,178.52999877929688,108140200,0.0,0.0
2025-06-30 00:00:00-04:00,180.77999877929688,181.22999572753906,174.5800018310547,176.22999572753906,63378900,0.0,0.0
2025-07-01 00:00:00-04:00,175.74000549316406,176.08999633789062,173.52999877929688,175.83999633789062,35904500,0.0,0.0
2025-07-02 00:00:00-04:00,175.5399932861328,178.86000061035156,175.07000732421875,178.63999938964844,29128900,0.0,0.0
2025-07-03 00:00:00-04:00,178.5,179.6699981689453,177.0500030517578,179.52999877929688,21689700,0.0,0.0
2025-07-07 00:00:00-04:00,179.05999755859375,179.3000030517578,175.67999267578125,176.7899932861328,34175600,0.0,0.0
2025-07-08 00:00:00-04:00,177.85000610351562,177.9499969482422,172.80999755859375,174.36000061035156,40442500,0.0,0.0
2025-07-09 00:00:00-04:00,175.25,179.44000244140625,172.77000427246094,176.6199951171875,43025600,0.0,0.0
2025-07-10 00:00:00-04:00,175.6300048828125,178.42999267578125,174.3800048828125,177.6199951171875,29252400,0.0,0.0
2025-07-11 00:00:00-04:00,176.7899932861328,181.42999267578125,176.47999572753906,180.19000244140625,34282900,0.0,0.0
2025-07-14 00:00:00-04:00,181.00999450683594,183.6699981689453,179.67999267578125,181.55999755859375,32536600,0.0,0.0
2025-07-15 00:00:00-04:00,182.80999755859375,184.22000122070312,181.60000610351562,182.0,33448300,0.0,0.0
2025-07-16 00:00:00-04:00,183.24000549316406,184.3300018310547,182.02999877929688,182.97000122070312,33104200,0.0,0.0
2025-07-17 00:00:00-04:00,182.13999938964844,184.05999755859375,180.47999572753906,183.5800018310547,31992600,0.0,0.0
2025-07-18 00:00:00-04:00,185.39999389648438,186.4199981689453,183.7100067138672,185.05999755859375,33966100,0.0,0.0
